round,accuracy,auc,method,dataset,noise_type,alpha,noise_rate,noisy_fraction,seed,feature_set
1,0.7926236575997492,0.3281304719518634,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
2,0.7926236575997492,0.3306032688171836,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
3,0.7926236575997492,0.3323293982691698,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
4,0.7926236575997492,0.3317383332959657,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
5,0.7926236575997492,0.3312788312788313,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
6,0.7926236575997492,0.3312686786207035,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
7,0.7926236575997492,0.3309017831343895,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
8,0.7926236575997492,0.3309836575672505,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
9,0.7926236575997492,0.3309972764801425,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
10,0.7926236575997492,0.3313255364138022,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
11,0.7926236575997492,0.33203257138875,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
12,0.7926236575997492,0.3336050122135273,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
13,0.7926236575997492,0.3354162653228074,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
14,0.7926236575997492,0.3369310446153645,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
15,0.7926236575997492,0.3378184380261223,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
16,0.7926236575997492,0.3382983845081456,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
17,0.7926236575997492,0.3383449099960003,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
18,0.7926236575997492,0.3447290202222705,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
19,0.7926236575997492,0.3513036384272106,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
20,0.7926236575997492,0.3560167179066452,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
21,0.7926236575997492,0.3625540484315147,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
22,0.7926236575997492,0.3677116558736497,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
23,0.7926236575997492,0.3855085812510527,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
24,0.7926236575997492,0.3972625732750343,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
25,0.7926236575997492,0.4032649946460953,fedavg,brfss,asymmetric,0.1,0.0,0.2,42,original
